farm code,region code,sub region code,holding type code,LATITUDE_coded,LONGITUDE_code,HOLDER LEGAL STATUS CODE,profession code,educational level code,tenure code,soil salinity group code,soil type code,Permanent Employees,Temporary Employees,Holding Area_coded,resting areas_coded,buildings_coded,Wind bumpers_coded,Fruit tree crops_coded,Protected vegetable crops_coded,vegetable crops_coded,Fruit waste %,Plastic houses waste %,Exposed Vegetable  waste %
20928,C,45,B,23.12750833,53.737875,E,B,G,D,B,B,3,0,46.88541,0.11934,0.61659,0,46.14948,0,0,0.246311809,0,0
20929,A,6,B,24.17123667,55.00136667,E,B,D,D,B,B,2,0,22.66524,3.51,0.117,1.17,14.625,0,0,0.121323629,0,0
20930,A,6,A,24.15693161,54.96417114,E,B,G,D,B,B,3,0,22.66524,-2.60676,1.287,2.925,12.87,0,1.17,0.377214047,0,0.26230947
20931,A,6,B,24.17154,55.00105333,E,B,D,D,B,B,0,0,22.77054,10.53,0.117,0.585,8.775,0,0,0.090235717,0,0
20932,A,6,B,24.17264333,55.00118167,E,B,B,D,B,B,0,0,22.80096,1.17,0.117,2.34,11.7,0,0,0.193074647,0,0
20933,A,6,A,24.17391333,55.00105333,E,B,G,D,B,B,2,0,22.80096,0,3.627,1.17,9.36,0,0,0.219806617,0,0
20934,A,6,B,24.17485667,55.00119833,E,B,G,D,B,B,0,0,22.80096,2.34,0.117,1.17,11.7,0,0,0.319859389,0,0
20935,A,6,B,24.17586833,55.00123333,E,B,G,D,B,B,0,0,22.80096,8.19,0.117,1.17,10.53,0,0,0.292729571,0,0
20936,A,6,B,24.17908333,55.00124833,E,B,A,D,B,B,0,0,22.81032,8.19,1.287,1.17,8.775,0,0,0.244374881,0,0
20937,A,6,B,24.17954,55.00128833,E,B,A,D,B,B,2,0,22.88286,8.19,0.117,1.17,10.53,0,0,0.012209509,0,0
20938,A,6,A,24.18295104,55.00097373,E,B,A,D,B,B,2,0,27.53478,5.85,2.457,1.755,9.36,0,0,0.144120836,0,0
20939,A,6,B,24.17715333,55.00108,E,B,A,D,B,B,0,0,27.55935,0,0,0,0,0,0,0,0,0
20940,C,42,B,23.67111667,52.87912333,E,B,A,D,B,B,1,0,46.8,31.71402,0.1755,0.46332,14.44716,0,0,0.176197195,0,0
20941,A,9,A,24.50426,54.61143833,E,B,C,D,A,B,1,0,27.18846,17.75475,0.9711,0.20475,8.25786,0,0,0.183960987,0,0
20942,A,9,A,24.50380167,54.61118,E,B,B,D,A,B,2,0,27.18846,13.93704,0.98046,1.08108,8.84988,0,0,0.290187526,0,0
20943,C,42,B,23.67287667,52.87822667,E,B,A,D,B,B,2,0,46.8,5.49315,0.78975,0.3159,36.6912,0,0,0.166216106,0,0
20944,C,5,B,23.128465,53.91008,F,B,A,D,A,B,1,0,46.8,29.2851,0.0585,0.1404,11.466,0,0,0.149713886,0,0
20945,A,9,B,24.575665,54.65779,E,B,G,D,A,B,1,0,32.60907,23.62347,0.3861,0,8.5995,0,0,0.320561522,0,0
20946,C,5,B,23.10753833,53.89023167,E,B,G,D,B,B,3,0,52.05447,17.43768,0.13104,0.08775,34.398,0,0,0.170251534,0,0
20947,A,9,A,24.50399,54.61032167,E,B,G,D,A,B,4,0,27.18846,4.84146,1.03896,0,8.43804,0,1.17,0.108573785,0,0.298137566
20948,C,42,B,23.67169167,52.88089833,E,B,C,D,B,B,1,0,46.8,28.42047,0.22113,0.3159,14.3325,0,0,0.370498806,0,0
20949,C,5,B,23.10129,53.880355,E,B,B,D,B,B,1,0,23.71473,13.79313,0.03744,0.42822,9.45594,0,0,0.242534644,0,0
20950,A,9,A,24.50385,54.608115,E,B,J,D,A,B,5,0,27.18846,18.73755,1.85562,0,3.08529,0,0,0.129811558,0,0
20951,B,31,B,24.08590167,55.28921333,E,B,B,D,A,B,1,0,39.18213,11.36421,0.26442,0.1755,27.378,0,0,0.110876688,0,0
20952,C,42,B,23.67356833,52.87978833,E,B,A,D,B,B,1,0,46.8,23.80131,0.1755,0.85293,18.46026,0,0,0.047339482,0,0
